Structure.Name,Age_Ma,Original_column,Diameter_km,Location,Reference,yearsElapsed
Kaluga,380,380 ± 5,15,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.22E+09
Elbow,395,395 ± 25,8,"Saskatchewan, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.21E+09
La Moinerie,400,400 ± 50,8,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.20E+09
Nicholson,400,< 400,12.5,"Northwest Territories, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.20E+09
Couture,430,430 ± 25,8,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.17E+09
Glasford,430,< 430,4,"Illinois, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.17E+09
Pilot,445,445 ± 2,6,"Northwest Territories, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.16E+09
Calvin,450,450 ± 10,8.5,"Michigan, USA",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.15E+09
Slate Islands,450,~ 450,30,"Ontario, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.15E+09
Brent,453,>453,3.8,"Ontario, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.15E+09
Kärdla,455,~ 455,4,Estonia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.15E+09
Tvären,455,~ 455,2,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.15E+09
Lockne,458,~ 458,7.5,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.14E+09
Målingen,458,~ 458,1,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.14E+09
Clearwater East,460,460-470,26,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.14E+09
Ames,470,470 ± 30,16,"Oklahoma, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.13E+09
Granby,470,~ 470,3,Sweden,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.13E+09
Gardnos,500,500 ± 10,5,Norway,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.10E+09
Glover Bluff,500,< 500,8,"Wisconsin, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.10E+09
Mizarai,500,500 ± 20,5,Lithuania,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.10E+09
Newporte,500,< 500,3.2,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.10E+09
Presqu'ile,500,< 500,24,"Quebec, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.10E+09
Rock Elm,505,<505,6,"Wisconsin, U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.10E+09
Glikson,508,< 508,19,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.09E+09
Lawn Hill,515,> 515,18,"Queensland, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.09E+09
Ritland,520,520 ± 20,2.7,Norway,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.08E+09
Neugrund,535,~ 535,8,Estonia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.07E+09
Foelsche,545,> 545,6,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.06E+09
Holleford,550,550 ± 100,2.35,"Ontario, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.05E+09
Kelly West,550,> 550,10,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.05E+09
Sääksjärvi,560,~ 560,6,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.04E+09
Spider,570,> 570,13,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.03E+09
Luizi,573,< 573,17,Democratic Republic of Congo,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.03E+09
Acraman,590,~ 590,90,South Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.01E+09
Beaverhead,600,~ 600,60,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.00E+09
Saarijärvi,600,> 600,1.5,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.00E+09
Söderfjärden,600,~ 600,6.6,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,4.00E+09
Strangways,646,646 ± 42,25,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3.95E+09
Jänisjärvi,700,700 ± 5,14,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3.90E+09
Iso-Naakkima,1000,> 1000,3,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3.60E+09
Lumparn,1000,~ 1000,9,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3.60E+09
Suvasvesi N,1000,< 1000,4,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3.60E+09
Santa Fe,1200,< 1200,6,"New Mexico , U.S.A.",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3.40E+09
Goyder,1400,< 1400,3,Northern Territory,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3.20E+09
Matt Wilson,1402,1402 ± 440,7.5,Northern Territory,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,3.20E+09
Shoemaker (formerly Teague),1630,1630 ± 5,30,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2.97E+09
Amelia Creek,1640,1640 - 600,20,"Northern Territory, Australia",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2.96E+09
Dhala,1700,> 1700 < 2100,11,India,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2.90E+09
Keurusselkä,1800,< 1800,30,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2.80E+09
Paasselkä,1800,< 1800,10,Finland,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2.80E+09
Sudbury,1850,1850 ± 3,130,"Ontario, Canada",http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2.75E+09
Yarrabubba,2000,~ 2000,30,Western Australia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2.60E+09
Vredefort,2023,2023 ± 4,160,South Africa,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2.58E+09
Suavjärvi,2400,~ 2400,16,Russia,http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html,2.20E+09
