The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Solar flux 10.7 cm, sunspots and cosmic rays - composite",,,,
Reference, Ottowa/Penticton,,,,
URL,http://www.ngdc.noaa.gov/stp/SOLAR/ftpsolarradio.html#qbsa,,,,
,,Solar flux,Sunspots,Minus Cosmic radiation,Cosmic radiation
2000,4,1855,125.5,-3752,3752
2000,5,1887,121.6,-3656,3656
2000,6,1855,124.9,-3583,3583
2000,7,2114,170.1,-3484,3484
2000,8,1672,130.5,-3561,3561
2000,9,1838,109.7,-3617,3617
2000,10,1666,99.4,-3725,3725
2000,11,1749,106.8,-3615,3615
2000,12,1682,104.4,-3651,3651
2001,1,1613,95.6,-3713,3713
2001,2,1431,80.6,-3812,3812
2001,3,1761,113.5,-3869,3869
2001,4,1793,107.7,-3622,3622
2001,5,1520,96.6,-3734,3734
2001,6,1792,134,-3779,3779
2001,7,1356,81.8,-3791,3791
2001,8,1671,106.4,-3713,3713
2001,9,2362,150.7,-3713,3713
2001,10,2066,125.5,-3675,3675
2001,11,2081,106.5,-3761,3761
2001,12,2282,132.2,-3787,3787
2002,1,2201,114.1,-3670,3670
2002,2,2001,107.4,-3790,3790
2002,3,1784,98.4,-3745,3745
2002,4,1911,120.7,-3733,3733
2002,5,1824,120.8,-3739,3739
2002,6,1534,88.3,-3771,3771
2002,7,1792,99.6,-3702,3702
2002,8,1884,116.4,-3610,3610
2002,9,1778,109.6,-3683,3683
2002,10,1659,97.5,-3735,3735
2002,11,1651,95.5,-3659,3659
2002,12,1523,80.8,-3688,3688
2003,1,1394,79.7,-3455,3455
2003,2,1214,46,-3727,3727
2003,3,1308,61.1,-3736,3736
2003,4,1272,60,-3685,3685
2003,5,1187,54.6,-3664,3664
2003,6,1334,77.4,-3580,3580
2003,7,1319,83.3,-3459,3459
2003,8,1252,72.7,-3706,3706
2003,9,1134,48.7,-3756,3756
2003,10,1501,65.5,-3685,3685
2003,11,1337,67.3,-3552,3552
2003,12,1114,46.5,-3725,3725
2004,1,1104,37.3,-3707,3707
2004,2,1044,45.8,-3836,3836
2004,3,1110,49.1,-3893,3893
2004,4,1019,39.3,-3945,3945
2004,5,1021,41.5,-3988,3988
2004,6,1005,43.2,-3963,3963
2004,7,1224,51.1,-3914,3914
2004,8,1127,40.9,-3935,3935
2004,9,1041,27.7,-3982,3982
2004,10,1051,48,-4091,4091
2004,11,1112,43.5,-3976,3976
2004,12,921,17.9,-4020,4020
2005,1,990,31.3,-3813,3813
2005,2,949,29.2,-3963,3963
2005,3,890,24.5,-3993,3993
2005,4,866,24.2,-4020,4020
2005,5,1017,42.7,-3919,3919
2005,6,966,39.3,-4010,4010
2005,7,996,40.1,-3972,3972
2005,8,928,36.4,-3949,3949
2005,9,921,21.9,-3842,3842
2005,10,761,8.7,-4044,4044
2005,11,844,18,-4094,4094
2005,12,879,41.1,-4096,4096
2006,1,808,15.3,-4112,4112
2006,2,747,4.9,-4177,4177
2006,3,747,10.6,-3578,3578
2006,4,896,30.2,-4221,4221
2006,5,827,22.3,-4220,4220
2006,6,790,13.9,-4236,4236
2006,7,783,12.2,-4190,4190
2006,8,814,12.9,-4232,4232
2006,9,786,14.4,-4235,4235
2006,10,738,10.5,-4269,4269
2006,11,844,21.4,-4263,4263
2006,12,819,13.6,,
2007,1,808,16.8,,
2007,2,758,10.7,,
2007,3,715,4.5,,
2007,4,729,3.4,,
2007,5,760,11.7,,
2007,6,760,12.1,,
2007,7,740,9.7,,
2007,8,709,6,,
2007,9,678,2.4,,
2007,10,671,0.9,,
2007,11,681,1.7,,
2007,12,761,10.1,,
2008,1,719,3.3
2008,2,694,2.1
2008,3,722,9.3
2008,4,707,2.9
2008,5,699,3.2
2008,6,680,3.4
