yearsBP,annual65N,annualGlobal,globalCosWeighted,Title,Source
739000,219.49,292.15,340.612,,
738900,219.59,292.14,340.616,,
738800,219.68,292.13,340.62,,
738700,219.77,292.12,340.623,,
738600,219.86,292.11,340.626,,
738500,219.94,292.09,340.63,,
738400,220.03,292.08,340.633,,
738300,220.12,292.07,340.637,,
738200,220.21,292.06,340.64,,
738100,220.3,292.05,340.644,,
738000,220.39,292.04,340.647,,
737900,220.48,292.03,340.65,,
737800,220.55,292.01,340.654,,
737700,220.62,292,340.657,,
737600,220.7,291.98,340.66,,
737500,220.77,291.97,340.663,,
737400,220.84,291.96,340.666,,
737300,220.91,291.94,340.669,,
737200,220.99,291.93,340.672,,
737100,221.06,291.91,340.675,,
737000,221.13,291.9,340.678,,
736900,221.2,291.88,340.681,,
736800,221.25,291.87,340.683,,
736700,221.29,291.85,340.685,,
736600,221.34,291.84,340.687,,
736500,221.38,291.82,340.689,,
736400,221.43,291.8,340.691,,
736300,221.47,291.79,340.693,,
736200,221.51,291.77,340.695,,
736100,221.56,291.76,340.697,,
736000,221.6,291.74,340.699,,
735900,221.65,291.72,340.7,,
735800,221.65,291.71,340.705,,
735700,221.65,291.69,340.709,,
735600,221.65,291.68,340.714,,
735500,221.66,291.66,340.718,,
735400,221.66,291.64,340.722,,
735300,221.66,291.63,340.727,,
735200,221.66,291.61,340.731,,
735100,221.66,291.59,340.736,,
735000,221.67,291.58,340.74,,
734900,221.67,291.56,340.744,,
734800,221.62,291.54,340.748,,
734700,221.57,291.52,340.751,,
734600,221.52,291.5,340.755,,
734500,221.47,291.49,340.758,,
734400,221.42,291.47,340.761,,
734300,221.37,291.45,340.765,,
734200,221.32,291.43,340.768,,
734100,221.26,291.41,340.772,,
734000,221.21,291.39,340.775,,
733900,221.16,291.37,340.779,,
733800,221.06,291.36,340.782,,
733700,220.96,291.34,340.786,,
733600,220.85,291.32,340.79,,
733500,220.75,291.3,340.793,,
733400,220.65,291.28,340.797,,
733300,220.55,291.26,340.801,,
733200,220.44,291.25,340.804,,
733100,220.34,291.23,340.808,,
733000,220.24,291.21,340.812,,
732900,220.13,291.19,340.816,,
732800,219.99,291.17,340.818,,
732700,219.84,291.15,340.82,,
732600,219.69,291.13,340.823,,
732500,219.55,291.11,340.825,,
732400,219.4,291.09,340.827,,
732300,219.25,291.07,340.83,,
732200,219.1,291.05,340.832,,
732100,218.96,291.03,340.834,,
732000,218.81,291.01,340.837,,
731900,218.66,290.99,340.839,,
731800,218.47,290.97,340.841,,
731700,218.29,290.95,340.843,,
731600,218.1,290.93,340.845,,
731500,217.91,290.91,340.847,,
731400,217.72,290.89,340.849,,
731300,217.54,290.87,340.852,,
731200,217.35,290.85,340.854,,
731100,217.16,290.84,340.856,,
731000,216.97,290.82,340.858,,
730900,216.78,290.8,340.86,,
730800,216.57,290.78,340.865,,
730700,216.37,290.76,340.87,,
730600,216.16,290.75,340.876,,
730500,215.95,290.73,340.881,,
730400,215.74,290.71,340.886,,
730300,215.53,290.7,340.892,,
730200,215.32,290.68,340.897,,
730100,215.11,290.66,340.902,,
730000,214.9,290.65,340.907,,
729900,214.69,290.63,340.913,,
729800,214.47,290.62,340.919,,
729700,214.25,290.61,340.926,,
729600,214.03,290.59,340.933,,
729500,213.81,290.58,340.94,,
729400,213.6,290.57,340.947,,
729300,213.38,290.56,340.954,,
729200,213.16,290.54,340.961,,
729100,212.94,290.53,340.967,,
729000,212.72,290.52,340.974,,
728900,212.51,290.51,340.981,,
728800,212.31,290.49,340.984,,
728700,212.1,290.48,340.988,,
728600,211.9,290.46,340.991,,
728500,211.7,290.45,340.994,,
728400,211.5,290.44,340.998,,
728300,211.3,290.42,341.001,,
728200,211.09,290.41,341.004,,
728100,210.89,290.39,341.007,,
728000,210.69,290.38,341.011,,
727900,210.49,290.37,341.014,,
727800,210.31,290.35,341.017,,
727700,210.13,290.34,341.02,,
727600,209.94,290.33,341.023,,
727500,209.76,290.32,341.026,,
727400,209.58,290.31,341.028,,
727300,209.4,290.3,341.031,,
727200,209.22,290.29,341.034,,
727100,209.04,290.27,341.037,,
727000,208.85,290.26,341.04,,
726900,208.67,290.25,341.043,,
726800,208.55,290.24,341.047,,
726700,208.43,290.24,341.052,,
726600,208.31,290.23,341.056,,
726500,208.19,290.22,341.06,,
726400,208.07,290.21,341.065,,
726300,207.95,290.21,341.069,,
726200,207.83,290.2,341.074,,
726100,207.7,290.19,341.078,,
726000,207.58,290.18,341.082,,
725900,207.46,290.18,341.087,,
725800,207.4,290.17,341.092,,
725700,207.33,290.17,341.098,,
725600,207.27,290.17,341.104,,
725500,207.2,290.16,341.11,,
725400,207.14,290.16,341.116,,
725300,207.07,290.15,341.121,,
725200,207.01,290.15,341.127,,
725100,206.95,290.15,341.133,,
725000,206.88,290.14,341.139,,
724900,206.82,290.14,341.145,,
724800,206.82,290.14,341.149,,
724700,206.83,290.14,341.154,,
724600,206.84,290.14,341.159,,
724500,206.85,290.14,341.164,,
724400,206.86,290.14,341.169,,
724300,206.86,290.13,341.174,,
724200,206.87,290.13,341.178,,
724100,206.88,290.13,341.183,,
724000,206.89,290.13,341.188,,
723900,206.9,290.13,341.193,,
723800,206.98,290.13,341.198,,
723700,207.06,290.13,341.203,,
723600,207.15,290.14,341.207,,
723500,207.23,290.14,341.212,,
723400,207.31,290.14,341.217,,
723300,207.39,290.15,341.222,,
723200,207.48,290.15,341.226,,
723100,207.56,290.15,341.231,,
723000,207.64,290.15,341.236,,
722900,207.72,290.16,341.241,,
722800,207.88,290.16,341.244,,
722700,208.03,290.16,341.247,,
722600,208.18,290.17,341.25,,
722500,208.34,290.17,341.253,,
722400,208.49,290.18,341.256,,
722300,208.64,290.18,341.259,,
722200,208.8,290.18,341.262,,
722100,208.95,290.19,341.265,,
722000,209.1,290.19,341.268,,
721900,209.26,290.2,341.271,,
721800,209.47,290.21,341.277,,
721700,209.69,290.22,341.283,,
721600,209.91,290.22,341.289,,
721500,210.12,290.23,341.295,,
721400,210.34,290.24,341.301,,
721300,210.55,290.25,341.307,,
721200,210.77,290.26,341.313,,
721100,210.99,290.27,341.319,,
721000,211.2,290.28,341.325,,
720900,211.42,290.29,341.331,,
720800,211.66,290.3,341.335,,
720700,211.9,290.31,341.339,,
720600,212.14,290.33,341.343,,
720500,212.39,290.34,341.347,,
720400,212.63,290.35,341.351,,
720300,212.87,290.36,341.355,,
720200,213.11,290.37,341.359,,
720100,213.35,290.38,341.363,,
720000,213.6,290.39,341.367,,
